Date,exchange_rate,exchange_rate_var
2012-08-31,2.0294434782608697,0.03485492926438294
2012-09-30,2.0280789473684213,-0.06723670341475252
2012-10-31,2.0298454545454545,0.08710248579451019
2012-11-30,2.06775,1.867361151543112
2012-12-31,2.077835,0.48772820698825825
2013-01-31,2.031077272727273,-2.2503099270503646
2013-02-28,1.9732500000000002,-2.847123223904924
2013-03-31,1.98284,0.48600025338907393
2013-04-30,2.0022136363636363,0.9770650361923483
2013-05-31,2.0348428571428574,1.6296573046261642
2013-06-30,2.172955,6.787361607424924
2013-07-31,2.2521695652173914,3.6454765615206774
2013-08-31,2.342190909090909,3.9970944134851694
2013-09-30,2.270509523809524,-3.06044161486424
2013-10-31,2.1886478260869566,-3.6054329155694287
2013-11-30,2.29535,4.8752555180983315
2013-12-31,2.345485714285714,2.1842296070627265
2014-01-31,2.382209090909091,1.565704553206393
2014-02-28,2.38368,0.061745591372397435
2014-03-31,2.3260894736842106,-2.416034296373226
2014-04-30,2.23277,-4.011860882393547
2014-05-31,2.2208809523809525,-0.5324797278289939
2014-06-30,2.2354700000000003,0.6569036311202092
2014-07-31,2.2246478260869567,-0.4841117936292383
2014-08-31,2.2680285714285713,1.9500050674501113
2014-09-30,2.332868181818182,2.8588533322033927
2014-10-31,2.4482608695652175,4.946386968898575
2014-11-30,2.548365,4.088785295684594
2014-12-31,2.6393636363636364,3.5708635287188706
2015-01-31,2.6342285714285714,-0.19455693275139962
2015-02-28,2.81645,6.917449402373155
2015-03-31,3.1394772727272726,11.4693061381268
2015-04-30,3.0432200000000003,-3.0660286527143255
2015-05-31,3.061715,0.6077444285986555
2015-06-30,3.1117380952380955,1.6338259843942327
2015-07-31,3.2231434782608694,3.580165798441004
2015-08-31,3.5143047619047616,9.033457108182974
2015-09-30,3.906457142857143,11.158747107061773
2015-10-31,3.8801380952380953,-0.6737318920078672
2015-11-30,3.77646,-2.6720207552750286
2015-12-31,3.871136363636363,2.5070135427454066
2016-01-31,4.05235,4.681148359067699
2016-02-29,3.9737421052631574,-1.9398101036890214
2016-03-31,3.7039181818181817,-6.790171991473681
2016-04-30,3.5658450000000004,-3.7277600378959774
2016-05-31,3.5392904761904758,-0.7446909164454563
2016-06-30,3.4244772727272728,-3.243961020876207
2016-07-31,3.2755666666666667,-4.348418581911417
2016-08-31,3.209660869565217,-2.012042611500797
2016-09-30,3.2563714285714283,1.4553113523341876
2016-10-31,3.185845,-2.165798039886624
2016-11-30,3.34203,4.902467006398603
2016-12-31,3.352268181818182,0.3063461973166648
2017-01-31,3.196609090909091,-4.643396126638821
2017-02-28,3.1041944444444445,-2.8910211989156442
2017-03-31,3.127930434782609,0.7646425107372012
2017-04-30,3.136172222222222,0.2634901130780909
2017-05-31,3.209509090909091,2.33841968777162
2017-06-30,3.2953666666666663,2.6750999397623154
2017-07-31,3.2061380952380953,-2.707697821038757
2017-08-31,3.1509173913043482,-1.7223432769712388
2017-09-30,3.1347899999999997,-0.5118316128774336
2017-10-31,3.1912285714285713,1.8003940113555217
2017-11-30,3.25938,2.1355859364508234
2017-12-31,3.2919150000000004,0.9981959759218118
2018-01-31,3.2106090909090907,-2.4698666001676695
2018-02-28,3.2415000000000003,0.9621510503529551
2018-03-31,3.2792142857142856,1.1634825147087913
2018-04-30,3.407495238095238,3.9119417398186362
2018-05-31,3.636057142857143,6.707622132721425
2018-06-30,3.773171428571428,3.770960695258574
2018-07-31,3.8287636363636364,1.4733549440995253
2018-08-31,3.9297565217391304,2.6377414478218286
2018-09-30,4.1165473684210525,4.7532422339299885
2018-10-31,3.758409090909091,-8.69996736243872
2018-11-30,3.786665,0.7518050432363754
2018-12-31,3.885055,2.5983286084192647
2019-01-31,3.7416818181818186,-3.6903771457078793
2019-02-28,3.7236249999999997,-0.4825856141501883
2019-03-31,3.846484210526316,3.2994517580668514
2019-04-30,3.8961571428571427,1.291385317399496
2019-05-31,4.001518181818182,2.7042297088606393
2019-06-30,3.8588263157894738,-3.5659432131799673
2019-07-31,3.7793391304347828,-2.059879840392065
2019-08-31,4.019981818181818,6.3673218899345185
2019-09-30,4.1215,2.525339327631526
2019-10-31,4.086986956521739,-0.8373903549256712
2019-11-30,4.155345,1.6725779701640464
2019-12-31,4.109590476190476,-1.1011004816573244
2020-01-31,4.149463636363636,0.9702465587306364
2020-02-29,4.341011111111111,4.616198418245121
2020-03-31,4.883854545454546,12.504999882492584
2020-04-30,5.32558,9.044607091269196
2020-05-31,5.643445,5.968645668640771
2020-06-30,5.1966,-7.9179472822008545
2020-07-31,5.280191304347826,1.6085768453955707
2020-08-31,5.461233333333333,3.428702078207535
2020-09-30,5.399485714285714,-1.1306533758727033
2020-10-31,5.625790476190476,4.191228088742127
2020-11-30,5.417835,-3.696466782234187
2020-12-31,5.1455863636363635,-5.0250448078178245
2021-01-31,5.3562449999999995,4.093967557368217
2021-02-28,5.416494444444444,1.1248448202881844
2021-03-31,5.646147826086957,4.239889544760134
2021-04-30,5.562135,-1.4879671711532594
2021-05-31,5.291057142857143,-4.8736295890491
2021-06-30,5.031904761904762,-4.897932000266403
2021-07-31,5.156704545454546,2.480169825442835
2021-08-31,5.251718181818182,1.8425262786751606
2021-09-30,5.279690476190477,0.5326312913959574
2021-10-31,5.53998,4.930014836728325
2021-11-30,5.5568599999999995,0.30469424077341767
2021-12-31,5.651391304347826,1.7011640449431376
2022-01-31,5.534104761904762,-2.075356954186336
