Date,output,output_potential,output_gap
2010-06-01,119.35572,116.58934262016457,2.7663773798354327
2010-07-01,118.61041,116.69088995561046,1.919520044389543
2010-08-01,118.33945,116.78592221527452,1.5535277847254747
2010-09-01,118.56178,116.8741790136035,1.6876009863965038
2010-10-01,118.21014,116.95541195214115,1.2547280478588476
2010-11-01,119.00205,117.02938565404389,1.9726643459561046
2010-12-01,119.6354,117.09587442401182,2.539525575988179
2011-01-01,119.96544,117.15466778792062,2.810772212079385
2011-02-01,121.44869,117.20557486675071,4.24311513324929
2011-03-01,121.82258,117.24842646953975,4.574153530460251
2011-04-01,118.70308,117.28308614541127,1.419993854588725
2011-05-01,122.32468,117.30945273788328,5.015227262116724
2011-06-01,120.08909,117.32743604721645,2.761653952783547
2011-07-01,119.86147,117.33698457141267,2.524485428587326
2011-08-01,118.92657,117.3380681175321,1.5885018824678951
2011-09-01,117.04712,117.33067597168919,-0.28355597168918223
2011-10-01,115.76273,117.3148096769573,-1.552079676957291
2011-11-01,116.3019,117.2904685884779,-0.9885685884779036
2011-12-01,119.37343,117.25764008546902,2.1157899145309784
2012-01-01,114.32268,117.21630391930464,-2.8936239193046305
2012-02-01,115.18988,117.1664561668982,-1.976576166898198
2012-03-01,114.68203,117.10807057781808,-2.4260405778180854
2012-04-01,114.60726,117.04110565027331,-2.4338456502733123
2012-05-01,115.20503,116.96550116302399,-1.7604711630239933
2012-06-01,115.43922,116.881178115157,-1.441958115156993
2012-07-01,117.01116,116.78804392187678,0.2231160781232262
2012-08-01,119.55515,116.68599487216783,2.8691551278321725
2012-09-01,117.16317,116.57492897658928,0.5882410234107169
2012-10-01,118.89747,116.4547663842429,2.4427036157570967
2012-11-01,117.37178,116.32543178312723,1.0463482168727722
2012-12-01,118.04651,116.18686870926246,1.8596412907375424
2013-01-01,119.18357,116.03902877234326,3.1445412276567453
2013-02-01,115.77261,115.88187793114834,-0.109267931148338
2013-03-01,118.08827,115.71540640789185,2.3728635921081462
2013-04-01,120.03126,115.53960358167117,4.49165641832883
2013-05-01,119.76164,115.35447714071631,4.407162859283687
2013-06-01,120.22066,115.16006943109998,5.060590568900011
2013-07-01,119.51763,114.95645680478113,4.5611731952188705
2013-08-01,119.86465,114.74375466148543,5.120895338514572
2013-09-01,120.44128,114.52211359517626,5.919166404823741
2013-10-01,119.11912,114.29172371289826,4.827396287101735
2013-11-01,119.73626,114.05282079427637,5.68343920572363
2013-12-01,115.52364,113.80567786736371,1.7179621326362877
2014-01-01,117.55918,113.55061181391099,4.008568186089008
2014-02-01,118.04456,113.28795277154958,4.75660722845042
2014-03-01,117.54062,113.01806180822099,4.522558191779012
2014-04-01,116.61769,112.74133669408292,3.8763533059170783
2014-05-01,115.45299,112.45821009557538,2.994779904424618
2014-06-01,112.17822,112.1691445892719,0.009075410728101474
2014-07-01,114.98212,111.87462585961559,3.1074941403844036
2014-08-01,115.41536,111.57513966107588,3.8402203389241265
2014-09-01,115.60571,111.27119572570042,4.334514274299579
2014-10-01,115.77153,110.9633334168667,4.808196583133295
2014-11-01,114.72179,110.65212554327836,4.06966445672164
2014-12-01,111.48084,110.3381820139213,1.142657986078703
2015-01-01,112.07362,110.02214413951336,2.051475860486647
2015-02-01,111.09793,109.70466204757793,1.3932679524220788
2015-03-01,110.68484,109.38640169492747,1.2984383050725228
2015-04-01,108.53225,109.06803978889883,-0.5357897888988248
2015-05-01,107.31038,108.75026305564285,-1.4398830556428521
2015-06-01,106.45823,108.43375408712987,-1.9755240871298696
2015-07-01,104.58883,108.11918436512151,-3.530354365121511
2015-08-01,105.02222,107.80721012813802,-2.78499012813802
2015-09-01,102.65011,107.49846037431098,-4.848350374310982
2015-10-01,102.50292,107.19354261265067,-4.690622612650671
2015-11-01,100.71552,106.89302694205645,-6.1775069420564535
2015-12-01,99.20849,106.59744726835187,-7.388957268351874
2016-01-01,100.06764,106.3072898314119,-6.239649831411896
2016-02-01,99.0019,106.02298385755239,-7.021083857552384
2016-03-01,99.56055,105.74491042764286,-6.184360427642858
2016-04-01,99.59657,105.47339644752309,-5.8768264475230865
2016-05-01,100.00119,105.20872110420238,-5.207531104202388
2016-06-01,98.63916,104.951118238807,-6.311958238806994
2016-07-01,99.33932,104.70078151089596,-5.361461510895964
2016-08-01,97.47061,104.4578558766469,-6.987245876646909
2016-09-01,98.53223,104.2224449229357,-5.690214922935695
2016-10-01,97.1394,103.99459832270394,-6.8551983227039415
2016-11-01,98.08853,103.7743218429139,-5.6857918429139005
2016-12-01,99.71026,103.56156835547907,-3.8513083554790626
2017-01-01,100.4551,103.3562468604623,-2.9011468604623047
2017-02-01,101.61333,103.15823664104106,-1.5449066410410524
2017-03-01,99.9755,102.96739459500031,-2.9918945950003177
2017-04-01,99.95435,102.78356569954911,-2.82921569954911
2017-05-01,100.35684,102.60657184629008,-2.249731846290075
2017-06-01,101.32002,102.4362130964578,-1.1161930964578062
2017-07-01,101.47658,102.27227215224482,-0.7956921522448255
2017-08-01,101.55383,102.11452310324266,-0.5606931032426559
2017-09-01,101.87868,101.96273389944288,-0.08405389944287833
2017-10-01,102.88233,101.81666816450138,1.0656618354986165
2017-11-01,103.30248,101.67608887350997,1.6263911264900344
2017-12-01,106.0944,101.54076722425978,4.553632775740212
2018-01-01,103.63342,101.41048696385621,2.222933036143786
2018-02-01,103.05262,101.28506697546004,1.7675530245399642
2018-03-01,104.51468,101.16434329449307,3.3503367055069333
2018-04-01,104.89249,101.0481655949035,3.8443244050965006
2018-05-01,93.44897,100.93640940200308,-7.487439402003076
2018-06-01,105.0036,100.82897990410048,4.174620095899527
2018-07-01,104.74574,100.72572451605217,4.02001548394783
2018-08-01,103.81739,100.62652286428937,3.190867135710633
2018-09-01,100.83718,100.53128559388134,0.3058944061186679
2018-10-01,102.25369,100.43994797078564,1.8137420292143673
2018-11-01,102.15583,100.35244762125623,1.8033823787437626
2018-12-01,101.9867,100.26873616647013,1.7179638335298648
2019-01-01,101.52258,100.1887791425919,1.3338008574081073
2019-02-01,101.8588,100.11255534167985,1.7462446583201512
2019-03-01,101.2751,100.04005384746563,1.2350461525343661
2019-04-01,101.81986,99.97127721779086,1.8485827822091494
2019-05-01,101.79598,99.90623754017429,1.8897424598257118
2019-06-01,100.82596,99.84496116589072,0.9809988341092719
2019-07-01,100.34568,99.7874890275611,0.5581909724389078
2019-08-01,101.33088,99.73386962724182,1.5970103727581773
2019-09-01,101.34697,99.68415577401842,1.6628142259815775
2019-10-01,103.64913,99.6384125995873,4.010717400412702
2019-11-01,101.18715,99.5967180660015,1.5904319339985022
2019-12-01,99.80544,99.55918108220766,0.2462589177923462
2020-01-01,101.20488,99.52592282900369,1.6789571709963127
2020-02-01,101.79501,99.49706638733359,2.2979436126664154
2020-03-01,94.00558,99.47274779305779,-5.467167793057797
2020-04-01,75.44154,99.45312081308305,-24.011580813083043
2020-05-01,81.33727,99.43829702937938,-18.10102702937938
2020-06-01,89.48945,99.42820274937361,-9.938752749373606
