Date,focus_expected_inflation,Infl. 12 m suav.,Infl. meses 13-24,Infl. meses 13-24 suav.,bcb_expected_inflation,selic_target,exchange_rate,exchange_rate_var,output,output_potential,output_gap,inflation_target,interval_size,upper_limit,lower_limit,inflation_12m,ano,mes,inflation_target_next,bcb_inflation_deviation,focus_inflation_deviation
2009-03,4.51,4.44,,,4.3,11.25,2.313836363636364,0.050337501482289326,102.54293,114.51248637146605,-11.969556371466055,4.5,,,,5.61,2009,3,4.5,-0.20000000000000018,0.009999999999999787
2009-04,4.23,4.16,,,4.066666666666666,10.25,2.20585,-4.6669836006317915,103.8842,114.67125785218502,-10.787057852185015,4.5,,,,5.53,2009,4,4.5,-0.43333333333333357,-0.2699999999999996
2009-06,4.1,4.04,,,3.6,9.25,1.9575571428571428,-5.014683216492621,106.66085,114.98334382360756,-8.322493823607559,4.5,,,,4.8,2009,6,4.5,-0.8999999999999999,-0.40000000000000036
2009-07,4.13,4.14,,,3.7333333333333334,8.75,1.9327521739130433,-1.2671389458340676,108.00185,115.13637496902332,-7.1345249690233175,4.5,,,,4.5,2009,7,4.5,-0.7666666666666666,-0.3700000000000001
2009-09,3.98,4.08,,,4.0,8.75,1.819795238095238,-1.3757845404244962,111.19407,115.43520675992505,-4.241136759925055,4.5,,,,4.34,2009,9,4.5,-0.5,-0.52
2009-10,4.28,4.32,,,4.2,8.75,1.7384190476190475,-4.47172235494836,113.61499,115.58036776044675,-1.9653777604467422,4.5,,,,4.17,2009,10,4.5,-0.2999999999999998,-0.21999999999999975
2009-12,4.35,4.4,,,4.6,8.75,1.7503136363636365,1.3992698454162067,115.57168,115.86032692007616,-0.288646920076161,4.5,,,,4.31,2009,12,4.5,0.09999999999999964,-0.15000000000000036
2010-01,4.65,4.51,,,4.633333333333333,8.75,1.7798200000000002,1.6857757960261788,117.28625,115.99434180537212,1.2919081946278794,4.5,2.0,6.5,2.5,4.59,2010,1,4.5,0.13333333333333286,0.15000000000000036
2010-03,4.57,4.56,,,4.7,8.75,1.7858434782608694,-3.029368227794016,119.73942,116.24847331362308,3.4909466863769154,4.5,,,,5.17,2010,3,4.5,0.20000000000000018,0.07000000000000028
2010-04,4.85,4.74,,,4.733333333333333,9.5,1.75657,-1.6391961903277852,120.19787,116.36782485409054,3.8300451459094518,4.5,,,,5.26,2010,4,4.5,0.2333333333333334,0.34999999999999964
